,timestamp,open,high,low,close,volume
0,2020-06-26,7.82,7.88,7.53,7.54,184259
1,2020-06-25,7.88,7.9507,7.68,7.89,189199
2,2020-06-24,8.2,8.2,7.84,7.9,208856
3,2020-06-23,8.39,8.63,8.15,8.37,145966
4,2020-06-22,8.61,8.67,8.31,8.37,151768
5,2020-06-19,8.68,9.03,8.61,8.69,356745
6,2020-06-18,8.55,8.79,8.4401,8.58,113111
7,2020-06-17,8.84,8.84,8.49,8.62,116990
8,2020-06-16,9.03,9.12,8.72,8.87,201031
9,2020-06-15,8.11,8.8,8.05,8.76,243915
10,2020-06-12,8.71,8.8,8.06,8.42,305814
11,2020-06-11,8.58,8.58,7.97,8.46,359433
12,2020-06-10,9.63,9.752,8.82,8.83,131816
13,2020-06-09,10.09,10.09,9.28,9.7,225381
14,2020-06-08,9.15,10.43,9.115,10.33,395570
15,2020-06-05,9.18,9.42,8.77,8.87,1159879
16,2020-06-04,8.84,9.77,8.7102,9.77,335582
17,2020-06-03,8.2,8.95,8.2,8.9,249394
18,2020-06-02,7.9,8.325,7.43,8.16,513073
19,2020-06-01,7.94,8.03,7.5,7.85,289194
20,2020-05-29,8.16,8.21,7.89,8.07,318830
21,2020-05-28,8.72,8.72,8.17,8.26,176261
22,2020-05-27,8.47,8.6596,8.33,8.6,214587
23,2020-05-26,8.33,8.5,8.22,8.39,188014
24,2020-05-22,7.76,8.12,7.76,8.09,151932
25,2020-05-21,7.76,7.92,7.72,7.75,177021
26,2020-05-20,7.56,7.995,7.56,7.75,188768
27,2020-05-19,7.94,8.06,7.5,7.515,293901
28,2020-05-18,7.97,8.365,7.96,8.01,178445
29,2020-05-15,7.76,7.9,7.73,7.78,179306
30,2020-05-14,7.62,7.84,7.33,7.82,213958
31,2020-05-13,7.94,8.095,7.539,7.8,167348
32,2020-05-12,8.28,8.41,8.0,8.01,222171
33,2020-05-11,8.51,8.64,7.95,8.25,318772
34,2020-05-08,8.24,8.75,8.23,8.71,162804
35,2020-05-07,7.97,8.23,7.95,8.12,203800
36,2020-05-06,8.31,8.39,7.95,7.99,270614
37,2020-05-05,8.64,8.98,8.165,8.28,433623
38,2020-05-04,9.47,9.5399,8.3,8.405,295087
39,2020-05-01,9.51,9.58,9.0001,9.34,285206
40,2020-04-30,10.07,10.19,9.48,10.08,310055
41,2020-04-29,9.28,9.7,9.2339,9.62,254093
42,2020-04-28,8.99,9.24,8.97,9.06,236865
43,2020-04-27,8.43,8.93,8.43,8.86,91267
44,2020-04-24,8.43,8.4788,8.25,8.39,87655
45,2020-04-23,8.15,8.61,7.9301,8.43,136430
46,2020-04-22,8.05,8.23,7.99,8.06,132659
47,2020-04-21,7.77,8.03,7.59,7.95,263632
48,2020-04-20,8.1,8.36,7.89,7.95,160492
49,2020-04-17,8.4,8.667,8.22,8.29,132121
50,2020-04-16,8.15,8.28,7.82,8.17,336019
51,2020-04-15,8.17,8.3,7.97,8.18,215482
52,2020-04-14,8.42,8.83,8.19,8.37,216301
53,2020-04-13,8.65,9.51,8.24,8.37,186672
54,2020-04-09,8.66,9.0,8.61,8.7,224203
55,2020-04-08,8.0,8.65,7.8893,8.46,316516
56,2020-04-07,7.95,8.2,7.7401,7.82,213657
57,2020-04-06,7.14,7.7,7.14,7.64,232969
58,2020-04-03,7.34,7.38,6.76,7.04,225634
59,2020-04-02,7.01,7.68,7.01,7.34,292586
60,2020-04-01,6.98,7.19,6.77,6.97,246365
61,2020-03-31,7.44,7.67,7.21,7.24,239220
62,2020-03-30,7.35,7.58,7.01,7.37,173716
63,2020-03-27,6.76,7.47,6.57,7.28,280227
64,2020-03-26,7.04,7.37,6.635,7.01,311410
65,2020-03-25,6.62,7.53,6.54,6.96,366185
66,2020-03-24,7.06,7.24,6.42,6.76,248545
67,2020-03-23,7.55,7.9,6.75,6.83,352289
68,2020-03-20,8.01,8.37,7.27,7.51,421668
69,2020-03-19,7.49,8.41,7.43,7.97,283201
70,2020-03-18,7.94,8.42,7.4,7.59,296729
71,2020-03-17,8.09,9.1,7.75,8.47,736739
72,2020-03-16,6.88,8.025,6.88,7.56,315992
73,2020-03-13,7.37,7.83,7.09,7.61,351560
74,2020-03-12,6.76,7.69,6.61,7.0,373806
75,2020-03-11,7.68,7.68,7.13,7.23,326135
76,2020-03-10,7.88,7.95,7.46,7.95,282190
77,2020-03-09,8.14,8.48,6.46,7.39,259880
78,2020-03-06,8.53,8.84,8.36,8.58,239139
79,2020-03-05,8.86,8.97,8.52,8.84,296243
80,2020-03-04,8.88,9.11,8.63,9.1,250382
81,2020-03-03,9.09,9.23,8.71,8.75,187925
82,2020-03-02,8.88,9.01,8.63,8.95,255650
83,2020-02-28,8.5,8.91,8.5,8.86,349734
84,2020-02-27,9.06,9.08,8.708,8.82,468176
85,2020-02-26,9.6,9.6,9.25,9.27,273145
86,2020-02-25,10.2,10.2488,9.42,9.475,452004
87,2020-02-24,9.98,10.135,9.75,10.1,351671
88,2020-02-21,10.49,10.535,10.225,10.325,180896
89,2020-02-20,10.6,10.995,10.52,10.52,298686
90,2020-02-19,10.41,10.62,10.35,10.52,288099
91,2020-02-18,10.35,10.53,10.22,10.5,648526
92,2020-02-14,10.52,10.605,9.56,10.4,802248
93,2020-02-13,10.97,11.0,10.67,10.71,276224
94,2020-02-12,11.09,11.45,10.95,11.0,208815
95,2020-02-11,10.67,11.16,10.66,10.99,282989
96,2020-02-10,10.45,10.69,10.4,10.58,305593
97,2020-02-07,10.65,10.91,10.32,10.49,293484
98,2020-02-06,11.0,11.0,10.68,10.81,252152
99,2020-02-05,10.95,11.01,10.74,10.93,253087
100,2020-02-04,10.94,10.99,10.55,10.89,612014
101,2020-02-03,10.93,11.14,10.67,10.74,339036
102,2020-01-31,11.28,11.28,10.86,11.01,340737
103,2020-01-30,11.58,11.58,11.15,11.34,349109
104,2020-01-29,11.84,11.94,11.69,11.7,171118
105,2020-01-28,12.05,12.094,11.72,11.74,198431
106,2020-01-27,11.9,12.03,11.79,11.94,161519
107,2020-01-24,12.8,12.8,12.12,12.15,224390
108,2020-01-23,13.21,13.21,12.69,12.82,248562
109,2020-01-22,13.24,13.44,13.09,13.28,259979
110,2020-01-21,13.26,13.26,12.97,13.1,492153
111,2020-01-17,12.89,13.25,12.88,13.25,299035
112,2020-01-16,12.22,12.86,12.22,12.78,330052
113,2020-01-15,12.26,12.29,11.98,12.19,276677
114,2020-01-14,12.26,12.305,11.98,12.26,454028
115,2020-01-13,11.86,12.32,11.83,12.29,183908
116,2020-01-10,11.88,11.95,11.61,11.84,208034
117,2020-01-09,12.07,12.09,11.79,11.88,164026
118,2020-01-08,11.77,12.14,11.71,12.07,247834
119,2020-01-07,11.59,11.83,11.55,11.81,148964
120,2020-01-06,11.9,11.99,11.525,11.67,290786
121,2020-01-03,12.16,12.2,11.96,12.0,192391
122,2020-01-02,12.43,12.58,12.29,12.36,187138
123,2019-12-31,12.41,12.61,12.23,12.3,624634
124,2019-12-30,12.56,12.6,12.38,12.45,148184
125,2019-12-27,12.57,12.59,12.39,12.525,100196
126,2019-12-26,12.72,12.86,12.44,12.56,149280
127,2019-12-24,12.3,12.68,12.25,12.68,226305
128,2019-12-23,12.31,12.34,12.01,12.3,183735
129,2019-12-20,12.21,12.35,12.0,12.31,1387506
130,2019-12-19,12.26,12.3,12.16,12.17,110493
131,2019-12-18,12.05,12.33,11.84,12.33,159920
132,2019-12-17,12.27,12.32,12.0,12.01,143902
133,2019-12-16,12.5,12.55,12.0,12.29,340628
134,2019-12-13,12.31,12.44,12.15,12.44,291892
135,2019-12-12,12.2,12.5,12.09,12.38,163475
136,2019-12-11,12.15,12.27,12.1,12.2,164147
137,2019-12-10,12.27,12.3481,12.16,12.25,152974
138,2019-12-09,12.1,12.3875,12.1,12.27,192796
139,2019-12-06,12.2,12.35,12.1,12.1,209991
140,2019-12-05,12.14,12.18,12.02,12.06,106100
141,2019-12-04,11.96,12.38,11.92,12.11,216494
142,2019-12-03,12.15,12.24,11.8,11.82,268080
143,2019-12-02,12.53,12.68,12.26,12.29,104496
144,2019-11-29,12.5,12.55,12.33,12.53,90078
145,2019-11-27,12.56,12.735,12.5,12.56,161212
146,2019-11-26,12.57,12.7,12.47,12.5,148761
147,2019-11-25,12.34,12.76,12.34,12.66,212060
148,2019-11-22,12.03,12.29,12.03,12.27,324355
149,2019-11-21,12.1,12.22,11.99,11.99,190418
150,2019-11-20,12.36,12.46,12.06,12.1,238056
151,2019-11-19,12.6,12.83,12.4,12.4,243573
152,2019-11-18,12.6,12.65,12.43,12.525,128607
153,2019-11-15,12.97,13.0,12.58,12.6,180834
154,2019-11-14,12.93,13.0232,12.83,12.83,122712
155,2019-11-13,12.89,12.9972,12.84,12.94,197257
156,2019-11-12,12.78,13.01,12.73,12.99,181863
157,2019-11-11,12.77,12.93,12.73,12.79,142240
158,2019-11-08,12.83,12.89,12.74,12.85,209139
159,2019-11-07,12.99,13.147,12.86,12.98,238610
160,2019-11-06,13.08,13.21,12.78,12.78,166178
161,2019-11-05,12.78,13.2,12.7,13.15,256890
162,2019-11-04,12.75,12.865,12.58,12.62,335562
163,2019-11-01,12.62,13.2,12.26,12.72,480583
164,2019-10-31,12.23,12.23,11.81,12.2,169887
165,2019-10-30,12.15,12.33,11.97,12.3,189238
166,2019-10-29,12.23,12.4,12.15,12.29,266973
167,2019-10-28,12.19,12.45,12.19,12.26,143787
168,2019-10-25,11.91,12.34,11.91,12.25,160598
169,2019-10-24,12.4,12.4,11.92,12.02,157985
170,2019-10-23,11.83,12.35,11.8,12.31,202732
171,2019-10-22,11.69,11.825,11.43,11.78,134485
172,2019-10-21,11.46,11.88,11.46,11.71,175328
173,2019-10-18,11.0,11.31,10.57,11.28,310062
174,2019-10-17,11.23,11.325,11.13,11.28,221477
175,2019-10-16,11.18,11.33,11.1,11.25,232589
176,2019-10-15,11.19,11.27,11.0039,11.18,218563
177,2019-10-14,11.5,11.53,11.11,11.16,183603
178,2019-10-11,11.39,11.66,11.22,11.525,431093
179,2019-10-10,11.13,11.37,11.1,11.27,184165
180,2019-10-09,11.6,11.7395,10.96,11.1,317162
181,2019-10-08,11.71,11.805,11.43,11.55,262102
182,2019-10-07,12.01,12.21,11.8,11.82,195070
183,2019-10-04,12.01,12.07,11.75,12.03,131992
184,2019-10-03,11.82,12.06,11.72,11.98,123638
185,2019-10-02,11.94,12.1,11.78,11.84,209670
186,2019-10-01,12.68,12.87,11.92,12.08,217454
187,2019-09-30,12.32,12.585,12.263,12.54,272169
188,2019-09-27,12.28,12.5499,12.22,12.3,152540
189,2019-09-26,12.54,12.54,12.18,12.31,154455
190,2019-09-25,12.55,12.7904,12.47,12.54,215140
191,2019-09-24,13.19,13.24,12.43,12.46,219778
192,2019-09-23,12.76,13.37,12.71,13.31,257412
193,2019-09-20,12.78,12.99,12.65,12.8,851991
194,2019-09-19,13.08,13.08,12.5,12.72,353423
195,2019-09-18,13.56,13.56,12.82,13.11,240278
196,2019-09-17,13.48,13.62,13.36,13.54,303733
197,2019-09-16,13.27,13.5,13.27,13.49,230472
198,2019-09-13,12.96,13.37,12.885,13.23,268941
199,2019-09-12,13.27,13.27,12.79,12.87,414825
200,2019-09-11,12.9,13.22,12.74,13.21,223876
201,2019-09-10,12.79,12.99,12.69,12.99,238877
202,2019-09-09,12.33,12.78,12.33,12.77,247485
203,2019-09-06,12.32,12.4011,12.2,12.27,225010
204,2019-09-05,12.09,12.51,12.09,12.26,204120
205,2019-09-04,11.81,12.04,11.8,11.94,131439
206,2019-09-03,11.95,11.98,11.68,11.73,299005
207,2019-08-30,12.23,12.43,11.96,12.04,146163
208,2019-08-29,11.73,12.18,11.69,12.12,234374
209,2019-08-28,11.28,11.74,11.11,11.57,317815
210,2019-08-27,11.36,11.5,11.23,11.33,220265
211,2019-08-26,11.24,11.32,11.07,11.19,194028
212,2019-08-23,11.22,11.29,10.94,11.1,296533
213,2019-08-22,11.34,11.39,11.17,11.25,219072
214,2019-08-21,11.48,11.48,11.18,11.27,214991
215,2019-08-20,11.32,11.47,11.15,11.28,339369
216,2019-08-19,11.37,11.445,11.22,11.38,268143
217,2019-08-16,10.76,11.195,10.76,11.16,242655
218,2019-08-15,10.96,10.97,10.58,10.66,351681
219,2019-08-14,11.4,11.4,10.94,10.99,282821
220,2019-08-13,11.3,11.64,11.17,11.52,341535
221,2019-08-12,11.47,11.5,11.16,11.33,302938
222,2019-08-09,11.81,11.81,11.42,11.51,325571
223,2019-08-08,11.63,11.9,11.6219,11.84,452893
224,2019-08-07,11.54,11.88,11.4,11.63,246093
225,2019-08-06,11.7,11.87,11.09,11.65,581840
226,2019-08-05,11.8,12.21,11.6,11.7,659760
227,2019-08-02,11.64,12.68,11.64,12.33,691621
228,2019-08-01,12.86,13.09,12.24,12.28,745697
229,2019-07-31,13.11,13.22,12.73,13.03,503857
230,2019-07-30,12.45,13.24,12.39,13.23,454937
231,2019-07-29,12.45,12.56,12.33,12.51,268958
232,2019-07-26,12.8,12.8,12.33,12.48,216800
233,2019-07-25,13.23,13.23,12.83,12.88,256309
234,2019-07-24,12.94,13.31,12.94,13.25,239489
235,2019-07-23,13.05,13.15,12.92,12.95,412576
236,2019-07-22,13.19,13.19,12.92,12.99,243404
237,2019-07-19,12.7,13.23,12.6885,13.15,416667
238,2019-07-18,12.93,12.94,12.7265,12.83,720030
239,2019-07-17,13.22,13.23,12.905,12.97,431145
240,2019-07-16,13.12,13.5,13.06,13.22,492031
241,2019-07-15,13.61,13.68,13.24,13.43,195935
242,2019-07-12,13.46,13.77,13.41,13.62,279398
243,2019-07-11,14.2,14.2,13.33,13.38,677317
244,2019-07-10,14.27,14.4,14.16,14.23,397538
